Ключ;Название;Приоритет;Статус;Обновлено;Создано;Описание;Метки
CRFLOMNIU-1031;Ошибка при сборке приложения.;Высокий;Закрыто;20.10.2025;18.09.2025;"<p>Лог: https://sfera.inno.local/orchestration7/dashboard/PPCF/project/a6d2ab1e-0add-4ba2-b0b6-44f62d175c22/builds/1066855</p>
<p>На строке #5585 ошибка:</p>
<p>&gt;&nbsp; unable to find valid certification path to requested target executing GET https://ppcf-osrf-integration.dev.ppcf.innodev.local/inside/public/app/publicapi/rb/ppcf/pp_retailLoanDictionary/v1/dictionary/ACTERMGS</p>
<p>&nbsp;</p>
<p>Можно ли добавить сертификат ppcf-osrf-integration.dev.ppcf.innodev.local в доверенные, чтобы избежать данной ошибки?</p>";devops_support,devops_консультация
CRFLDEVOPS-2111;Нет логов в kibana;Средний;Выполнено;22.09.2025;17.09.2025;"<p>Добрый день, нет логов в kibana сервиса casf-migr-person ИС 2198 на ИФТ. Журналирование подключено через стандартную для этого стрима библиотеку.</p>
<p>Смотрим в kbns1-balancer-ift.test.vtb.ru, нет ни одного лога с нейспейса ik5-casf01-casf-common (нашего сервиса), только с неймспейса ifk8s-casf-af812c-casf</p>";devops_support,devops_doul,devops_консультация
CRFLDEVOPS-2110;Периодически ловим 401;Средний;Выполнено;22.09.2025;17.09.2025;"<p>Добрый день, сервис casf-mirg-person 2198 ИФТ.</p>
<p>Периодически ловим 401 при обращении через TYK в карточку ФЛ (ИС 1442). Просим оказать консультацию в части работы ext-authz в istio egress.<br />Контакт для связи Кирносов Александр Александрович (4110258) мессенджер команда.</p>
<p>&nbsp;</p>
<p>upd:<br />Периодически ловлю 401 ошибку и ретраи не помогают<br />это происходит при большом количестве запросов,&nbsp;<br />то есть может по 15-20 минут нормально работать,&nbsp;<br />потом несколько запросов отваливаются по 401,<br />и дальше опять хорошо,&nbsp;<br />запросов улетает примерно по 1000 в мин,<br />похоже на то, что ext-authz контейнер подставляет протухшие токены с некоторым интервалом времени</p>";devops_support,devops_doul,devops_консультация,devops_cloud_ошибки
CRFLOMNIM-1723;Выдача доступов на топики в системе 2197 для системы 3620;Высокий;Выполнено;17.09.2025;17.09.2025;"<p>Необходимо выдать доступ на <strong>чтение и запись</strong> в топики Kafka'и <strong>2197</strong> на <strong>ИФТ</strong>:<br />- pub.acrp.deviation.v1<br />- pub.acrp.deviation.reply-success.v1</p>
<p>- pub.acrp.deviation.reply-error.v1<br /><br />Для системы 3620, CN клиенсткого сертификата, с которым будет осуществляться подключение: <br /><strong>3620-oups-ift-2197-kafka</strong></p>";devops_support
CRFLOMNIN-627;Проблема с деплоем crpr-cod-processor на dev стенд;Высокий;Выполнено;17.09.2025;17.09.2025;<p>Ссылка на запуск джобы<br />https://sfera.inno.local/orchestration6/dashboard/CRPR/project/2c3e3e4d-b88f-4e46-825b-35268d95b137/builds/1569688?stageId=91<br /><br />Логи во вложении.<br /><br /></p>;devops_консультация,devops_support
CRFLDEVOPS-2109;Срочно_Проблема с билдом ИС 3722;Средний;Выполнено;19.09.2025;17.09.2025;"<p>[2025-09-16 15:41:04.693] Request Body:{""message"":""Не удалось загрузить данные:\n400 BAD_REQUEST \""vmCreateEntity: Value '3722 Продуктовый процессор \""Закладные\""' does not match to custom field with code 'systemCode' and type DICTIONARY\"""",""traceId"":""b61d7ea1-3f7d-41f3""}<br />[2025-09-16 15:41:04.693] ERROR Command execution failed {""error"": ""request failed with status: 400 Bad Request, debug info: Request status: 400 Bad Request\nRequest Method: POST\nRequest URL: https://sfera.inno.local/app/pprc2/api/main-fw/api/v0.1/entities\nRequest Body:{\""message\"":\""Не удалось загрузить данные:\\n400 BAD_REQUEST \\\""vmCreateEntity: Value '3722 Продуктовый процессор \\\""Закладные\\\""' does not match to custom field with code 'systemCode' and type DICTIONARY\\\""\"",\""traceId\"":\""b61d7ea1-3f7d-41f3\""}""}</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>https://sfera.inno.local/orchestration7/dashboard/PPCF/project/9ac7acc0-cb69-49ac-a7d7-4f45c94ff93d/builds/1058832?stageId=85</p>
<p>&nbsp;</p>";devops_support,devops_doul
CRFLOMNIL-2283;Не запускается сборка для PR;Высокий;Выполнено;17.09.2025;17.09.2025;"<p>Не запускается сборка для PR - https://sfera.inno.local/sourcecode/projects/PPCF/repos/ppcf-cession-prod-processor/pulls/1456861&nbsp;</p>
<p>Как результат не отрабатывает бот</p>
<p>Просьба починить чтобы автоматичеки запустилась сборка</p>";devops_support,devops_cloud_ошибки
CRFLOMNIN-626;Подключение к t_crpr01_main;Высокий;Выполнено;17.09.2025;17.09.2025;"<p>Не могу найти секреты для подключения к БД <strong>t_crpr01_main</strong> на <strong>postgresql://dvppcf-00pgp004.innodev.local:5432<br /><br /></strong>Собираюсь раскатить МС crpr-cod-processor на dev.<br />Использую пользователя t_crpr01_main_admin, но не знаю с какими кредами. Не нашел в соседних МС секреты для подключения к этой БД.<br />Возможно нужно другого пользователя использовать или создать нового.&nbsp;<br /><br /></p>";devops_консультация,devops_support
CRFLOMNIA-2464;проблема с овнером на базе реплика;Критический;Выполнено;16.09.2025;16.09.2025;"<p>стенд: ДЕВ</p>
<p>ИС: 2199</p>
<p>&nbsp;</p>
<p>dvppcf-00pgp004.innodev.local:5432<br />база repl_ppdb1<br />стоит овнер repl_ppdb1_admin<br />но на схемах + таблицах стоит postgres<br />из-за этого не получается запускать миграции ликви и т.д.</p>";devops_support,devops_db
CRFLOMNIN-624;Создание топиков на dev;Высокий;Выполнено;16.09.2025;16.09.2025;"<p>На броккере dvppcf-00kfp001.innodev.local:9092 необходимо создать следующие топики:</p>
<p><br />1. <strong>int.1830.correction.rs.v1</strong> (CN: APD0081.0001.0048-1830-kafka-dk-client-crpr-sutp) producer и consumer</p>
<p>2. <strong>int.1830.correction.rq.v1</strong> (CN: APD0081.0001.0048-1830-kafka-dk-client-crpr-sutp) producer и consumer<br /><br />И для топиков добавить роли с тем же CN (APD0081.0001.0048-1830-kafka-dk-client-crpr-sutp):<br /><br /><strong>int.crpr.cod-event.rq.v1</strong> (добавить consumer)<br /><strong>int.crpr.cod-event.rs.v1</strong> (добавить producer)<br /><br /><br /></p>";devops_support,devops_cloud_настройка
CRFLOMNIN-623;1830. Ошибка установки релиза на ИФТ ;Высокий;Закрыто;19.09.2025;16.09.2025;"<p>Добрый день!</p>
<p>при запуске джобы билд релиз возникает ошибка на 1830&nbsp;</p>
<p>&nbsp;</p>
<p>https://sfera.inno.local/orchestration6/dashboard/CRPR/project/bd1570c1-60e2-4c9b-8385-d13c20ef2e6c/builds/1565448</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>[2025-09-16 14:42:09.725] INFO Supply crpr-cod-processor 0.5.1.1 already exists in https://maven.repo-distr.sfera.inno.local 1083[2025-09-16 14:42:09.725] INFO downloaded file: /app/jenkins-agent/workspace/CRPR/CI/MICROSERVICES/crpr-cod-processor/BuildRelease/crpr-cod-processor/piedpiper_tmp/supply-comparison/crpr-cod-processor-0.5.1.1.zip 1084[2025-09-16 14:42:09.725] Error: supply crpr-cod-processor 0.5.1.1 md5 mismatch: cb2471203aaf028bddcc35eae4d363f6 != 99256620ffa937bf5e0d1469a8ccbd90 1085[2025-09-16 14:42:09.725] ERROR Command execution failed {""error"": ""supply crpr-cod-processor 0.5.1.1 md5 mismatch: cb2471203aaf028bddcc35eae4d363f6 != 99256620ffa937bf5e0d1469a8ccbd90""} 1086[2025-09-16 14:42:09.725] ? supply crpr-cod-processor 0.5.1.1 md5 mismatch: cb2471203aaf028bddcc35eae4d363f6 != 99256620ffa937bf5e0d1469a8ccbd90 &nbsp;1087[2025-09-16 14:42:09.808] [Pipeline] } 1088[2025-09-16 14:42:09.890] [Pipeline] // withEnv 1089[2025-09-16 14:42:09.956] [Pipeline] } 1090[2025-09-16 14:42:10.119] [Pipeline] // dir 1091[2025-09-16 14:42:10.210] [Pipeline] } 1092[2025-09-16 14:42:10.295] [Pipeline] // stage 1093[2025-09-16 14:42:10.297] stage: 'PipelineCI', duration: 00:00:08.631 1094[2025-09-16 14:42:10.376] [Pipeline] } 1095[2025-09-16 14:42:10.475] [Pipeline] // timeout 1096[2025-09-16 14:42:10.538] [Pipeline] stage 1097[2025-09-16 14:42:10.615] [Pipeline] { (postFailureActions) 1098[2025-09-16 14:42:10.697] [Pipeline] echo 1099[2025-09-16 14:42:10.710] ? FAILURE: Задание завершилось с ошибкой.&nbsp;</p>";devops_консультация,devops_support
CRFLDEVOPS-2108;Увеличить время жизни данных в топиках kafka casf-2198 ;Средний;Выполнено;16.09.2025;16.09.2025;"<p>Система casf-2198.</p>
<p>Необходимо увеличить время жизни файлов до удаления из топиков kafka до 2 дней</p>
<p>топики:</p>
<p>int.casf.migr-person-files-download.v1&nbsp;</p>
<p>int.casf.migr-person-response-data.v1</p>
<p>int.casf.migr-person-data.v1</p>
<p>int.casf.migr-person-anketa-data.v1</p>
<p>int.casf.migr-person-dlt.v1</p>
<p>&nbsp;</p>
<p>адрес точки подключения кафки</p>
<p>ifcasf-kfc001lk.test.vtb.ru:9092</p>";devops_support,devops_doul,devops_cloud_настройка
CRFLOMNIV-691;в регионе при деплое микросервиса ppcf-migr-processor-casf в оркестрация - cdl - microservices - deploy не происходит развертывание сервиса, просьба указать на причину ошибки;Средний;Закрыто;23.09.2025;16.09.2025;"<p>в регионе при деплое микросервиса ppcf-migr-processor-casf в оркестрация - cdl - microservices - deploy не происходит развертывание сервиса, просьба указать на причину ошибки</p>
<p>деплой висит, в кубере логов нет, статус поды - imagepullbackoff</p>";devops_support,devops_консультация
CRFLDEVOPS-2107;Проблема с билдом;Средний;Выполнено;17.09.2025;16.09.2025;"<p>Билд релиза&nbsp;<br />https://sfera.inno.local/orchestration7/dashboard/PPCF/project/9ac7acc0-cb69-49ac-a7d7-4f45c94ff93d/builds/1058110?stageId=85<br /><br />идёт в другое пространство<br /><br />https://sfera.inno.local/orchestration3/dashboard/MORT/project/199c82a3-257e-4f1d-adb1-66dbe65dac0f</p>
<p>&nbsp;</p>
<p>вместо</p>
<p><br />https://sfera.inno.local/orchestration3/dashboard/ACRP/project/ec63bc8a-df51-437d-bc5e-8a5bd1da6a79</p>
<p>&nbsp;</p>";devops_support,devops_doul
CRFLOMNIE-2328;Проблема с раскаткой liquibase скриптов на реплику базы ppcf-prod-processor;Критический;Выполнено;16.09.2025;16.09.2025;<p>Джоба раскатки liquibase скриптов падает по таймауту. Воспользоваться непосредственно раскаткой сервиса на стенд с галочкой liquibase не могу, так как на дев стенд эту доработку раскатывать пока рано, используется командный.<br />https://sfera.inno.local/orchestration7/dashboard/PPCF/project/07c484c7-79df-4c3c-bea4-832df10968cd/builds/1057168<br />Джобу перезапускала несколько раз. Все время одна и так же ошибка.</p>;devops_support,devops_db,devops_консультация
CRFLOMNIM-1719;Создать топик на стендах dev, devbar и ift;Средний;Выполнено;16.09.2025;16.09.2025;"<p>Добрый день!</p>
<p>&nbsp;</p>
<p>Нужно завести в кафке 2199 топик pub.acrp.ppcf.check-start.v1 на стендах dev, devbar и ift</p>
<p>Добавить права серту APD00.00-2197-kafka-if-client-acrp права producer</p>";devops_support,devops_инфраструктура
CRFLOMNIH-4921;2200. НТ. Консультация по изменению Dockerfile убрать -XX:MaxRAMPercentage=85.0;Средний;Закрыто;16.09.2025;16.09.2025;<p>На НТ было обнаружено что конфигурация в app.yaml по jvm а именно ключ -XX:MaxRAMPercentage=75.0 не работает, так как в образе зашито -XX:MaxRAMPercentage=85.0. Требуется убрать этот ключ, чтобы можно было переопределить. Вопрос какой Dockerfile используется при build образа и какими способами это можно изменить?</p>;devops_support,devops_консультация
CRFLOMNIL-2241;При остановке деплоя на CDL неудачный деплой остается в кубере;Средний;Выполнено;16.09.2025;15.09.2025;<p>При деплое на контуре CDL в оркестрации 2 в пространстве CASF если при деплое пода падает с ошибкой или докер образ не найден, то после остановки деплоя вторая пода, которая поднималась и упала не убивается и живет дальше, приходится запускать helmUninstall чтобы установить новую версию после.</p>;devops_support
CRFLOMNID4-664;Ошибка при выполнении BuildRelease микросервиса ppcf-admin-console-ui;Средний;Выполнено;17.09.2025;15.09.2025;"<p>Ошибка при выполнении BuildRelease микросервиса ppcf-admin-console-ui в&nbsp;PipelineCI</p>
<p>https://sfera.inno.local/orchestration7/dashboard/PPCF/project/2bb74d14-3459-47e1-9d98-938b9002c5d1</p>
<p>&nbsp;</p>
<p>INFO &nbsp; &nbsp;============1. Running Build action==============<br />INFO &nbsp; &nbsp;exec: npm install<br />npm ERR! code E503<br />npm ERR! 503 Service Unavailable - GET https://sfera.inno.local/app/repo-ci-npm/api/repository/ppcf-npm/yocto-queue/-/yocto-queue-0.1.0.tgz</p>
<p>npm ERR! A complete log of this run can be found in:<br />npm ERR! &nbsp; &nbsp; /app/jenkins-agent/.npm/_logs/2025-09-15T14_01_34_024Z-debug-0.log<br />Error: command ""/app/jenkins-agent/tools/com.cloudbees.jenkins.plugins.customtools.CustomTool/node-18.16.0/bin/npm"" exited with non-zero status:</p>
<p>&nbsp;</p>";devops_support
CRFLOMNIH-4920;2200. IFT. Консультация по проблеме актуатора прометеус;Средний;Закрыто;15.09.2025;15.09.2025;"<p>Добрый день.<br />https://ppea-escrow.s1.ift.ppea.test.vtb.ru/actuator/prometheus&nbsp; &nbsp;выдает ошибку: {""type"":""about:blank"",""title"":""Not Found"",""status"":404,""detail"":""No static resource actuator/prometheus."",""instance"":""/actuator/prometheus""}<br />https://ppea-lc.s1.ift.ppea.test.vtb.ru/actuator/prometheus открывается нормально</p>";devops_support,devops_консультация
CRFLOMNIN-618;Добавить CN на топики;Высокий;Выполнено;15.09.2025;15.09.2025;"<p>Добавить CN <strong>APD00.00-2197-kafka-dk-client-acrp</strong> на топики (dvppcf-00kfp001.innodev.local:9092):</p>
<p>1. sutp-to-acrp<br />2. sutp-events<br /><br />Для producer и consumer</p>";devops_cloud_настройка,devops_support
CRFLOMNID4-663;ИФТ. Loans. Завис сервис отправки сообщений в топик Кафка;Высокий;Выполнено;17.09.2025;15.09.2025;<p>На контуре ИФТ ИС-1366 требуется перевыпуск сертификата APD25.03-1366-kafka-if-client-rtll, обновить файлы на СП и выполнить рестарт СП.</p>;devops_support,devops_консультация
CRFLDEVOPS-2112;Убить под acrp-lc;Средний;Выполнено;22.09.2025;18.09.2025;<p>Прошу убить под acrp-lc на контуре ИФТ (см вложение)<br />Крутится в крэш лупе со всерашнего дня, видимо кто-то деплой прервал</p>;devops_support,devops_doul
CRFLOMNIH-4919;Создание топиков топиков на dev 2200;Средний;Выполнено;15.09.2025;15.09.2025;"<p>На Dev стенде обнаружили ошибку:&nbsp;</p>
<p>&nbsp;</p>
<p>2025-09-15T11:03:38.639+03:00 ERROR 1 --- [ppea-escrow] [ntainer#7-0-C-1] o.s.k.l.KafkaMessageListenerContainer &nbsp; &nbsp;: Authentication/Authorization Exception and no authExceptionRetryInterval set</p>
<p>&nbsp;</p>
<p>org.apache.kafka.common.errors.TopicAuthorizationException: Not authorized to access topics: [from-1689-createBlockResponse-to-2200]</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>Требуется создать топики в Кафке если их нет либо выбать права на чтение и запись:&nbsp;</p>
<p>from-1689-createBlockRequest-to-2200</p>
<p>from-2200-createBlockResponse-to-1689</p>
<p>from-1689-createBlockResponse-to-2200</p>
<p>&nbsp;</p>
<p>Kafka: dvppcf-00kfp001.innodev.local:9092</p>";devops_support,devops_cloud_настройка
CRFLOMNIN-614;Создание топиков на dev;Высокий;Выполнено;24.09.2025;15.09.2025;"<p>На броккере dvppcf-00kfp001.innodev.local:9092 необходимо создать следующие топики:<br /><br />1. int.2199.correction.rs.v1 (CN: APD00.00-2199-kafka-dk-client-ppcf)</p>
<p>2. int.2199.correction.rq.v1 (CN: APD00.00-2199-kafka-dk-client-ppcf)</p>";devops_консультация,devops_support
CRFLOMNIQ-360;Запрос доступа для тестовой УЗ в kubernetes;Средний;Выполнено;15.09.2025;15.09.2025;"<p>Роль Админ</p>
<p>УЗ VTB4117001</p>
<p>https://console.apps.ik5-casf01.test.vtb.ru/search/ns/ik5-casf01-casf-common</p>
<p>&nbsp;</p>
<p>NS: ik5-casf01-casf-common</p>";devops_support
CRFLOMNIE-2323;DevOps. Не отрабатывает job rollback liquibase;Высокий;Выполнено;15.09.2025;15.09.2025;"<p>Не отрабатывает job отката liquibase</p>
<p>https://sfera.test.vtb.ru/orchestration3/dashboard/CRPR/project/95bf5e10-5f40-4897-b91c-323c822e19c2/builds/3189928</p>
<p>&nbsp;</p>
<p>pod-а liquibase сейчас находится в статусе Error после наката новой версии.&nbsp;</p>
<p>https://console.apps.ik5-crpr01.test.vtb.ru/k8s/ns/ik5-crpr01-crpr-k301/deployments/crpr-osrf-integration/pods</p>
<p>&nbsp;</p>
<p>Просьба дать рекомнедации как перевести pod в корректный статус для выполнения rollback</p>
<p>&nbsp;</p>
<p>Контур: IFT</p>
<p>CRPR ( 1830 ) - crpr-osrf-integration</p>";devops_support,devops_консультация
CRFLOMNIN-613;1830 Ошибка при отработке ликвибейз - несовпадения чек суммы;Критический;Закрыто;23.09.2025;15.09.2025;"<p>При проверке PR ботом не проходит проверка из-за ошибка несовпадения чек-суммы. Наша чек-сумма - 9:f68c8e6cace33866ca671f7ca026ce8f. Чек-сумма, которую ожидает бот - 9:6cf7488cf231162b070dbcfe546b997a. Необходимо внести изменения в чек-сумму в том месте, где ее проверяет бот, чтобы пройти проверку. Это необходимо для дальнейшей установки на ПРЕПРОД, где возникает ошибка:<br /><br />При установке микросервиса crpr-cod-processor 0.5.1.1 появляется ошибка&nbsp;</p>
<p>ERROR: Exception Primary Source: &nbsp;4.30.0</p>
<p>Unexpected error running Liquibase: Validation Failed:<br />&nbsp; &nbsp; &nbsp;1 changesets check sum<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; changelog/core-model/1.0.0/2025-07-23-add-data-in-tables.xml::20250723-1::smartynov was: 9:6cf7488cf231162b070dbcfe546b997a but is now: 9:f68c8e6cace33866ca671f7ca026ce8f</p>";devops_консультация,devops_support
CRFLOMNIJ-2078;WARN логи мониторинга у acrp-pd-outbox-worker на препроде;Критический;Выполнено;15.09.2025;15.09.2025;"<p>Добрый день!<br />Выполнянли перераскатку acrp-pd-outbox-worker с релизом 116570 на ПСИ, в настрокай ничего не меняли, добавлен был только дополнительный source-id для функционала, но ежеминутно сыпится набор ошибок: <span style=""color: #dfab00;"">2025-09-15 09:53:53[oneagentperiodiceventsmanaged]WARN o.a.kafka.common.metrics.JmxReporter - Error getting JMX attribute 'records-lag-max' javax.management.AttributeNotFoundException: Could not find attribute records-lag-max 2025-09-15 09:53:53[oneagentperiodiceventsmanaged]WARN o.a.kafka.common.metrics.JmxReporter - Error getting JMX attribute 'records-lag' javax.management.AttributeNotFoundException: Could not find attribute records-lag 2025-09-15 09:53:53[oneagentperiodiceventsmanaged]WARN o.a.kafka.common.metrics.JmxReporter - Error getting JMX attribute 'records-lag-avg' javax.management.AttributeNotFoundException: Could not find attribute records-lag-avg</span></p>
<p><span style=""color: #232431;"">Подскажите не обновлялся ли агент мониторинга, который мог повлият на такие предупреждения? или в остальном не было ли каких-то доработок в настройках? oneagentperiodiceventsmanaged</span></p>";devops_support
CRFLOMNIA-2455;нужно обратиться к ppcf-background-process по dns имени, как?;Средний;Выполнено;15.09.2025;15.09.2025;"<p>стенд dev<br />ис 2199</p>
<p>&nbsp;</p>
<p>нужно обратиться к ppcf-background-process по dns имени, как это сделать?</p>
<p>ранее в сервисе не было контроллера и это было ненужно, сейчас функциональность расширили</p>";devops_support,devops_консультация
CRFLOMNIH-4917;2200 Развертывание ppea-escrow на DEV идет долго и падает с ошибкой;Средний;Закрыто;15.09.2025;15.09.2025;"<p>Прошу подсказать как поправить деплой ppea-escrow на DEV-среду</p>
<p>https://sfera.inno.local/orchestration3/dashboard/ACRP/project/126e580c-bb50-4801-95d6-a48e29f90cd3/builds/1521553</p>
<p>https://sfera.inno.local/orchestration3/dashboard/ACRP/project/126e580c-bb50-4801-95d6-a48e29f90cd3/builds/1524023</p>
<p>Оба пайплайна упали и очень долго шли. На первый взгляд ничего критичного в инвентори не изменялось для моей ветки</p>";devops_support,devops_cloud_настройка
CRFLOMNIL-2238;При ПР запускается бот и падает с ошибкой Could not transfer artifact ru.vtb:mort-main-api:pom:0.17.3 from/to mort-pub (https://maven.repo-ci.sfera.inno.local/repository/mort-maven-pub/): status code: 403, reason phrase: Forbidden (403);Высокий;Закрыто;15.10.2025;15.09.2025;"<p>[2025-09-15 07:42:19.806] [INFO] casf-cession-orchestrator .......................... SUCCESS</p>
<p>[ 2.656 s] [2025-09-15 07:42:19.806] [INFO] casf-cession-orchestrator-api ...................... SUCCESS</p>
<p>[ 8.048 s] [2025-09-15 07:42:19.806] [INFO] casf-cession-orchestrator-financial-transaction .... SUCCESS</p>
<p>[ 8.253 s] [2025-09-15 07:42:19.806] [INFO] casf-cession-orchestrator-domain ................... SUCCESS</p>
<p>[ 2.316 s] [2025-09-15 07:42:19.806] [INFO] casf-cession-orchestrator-app ...................... FAILURE</p>
<p>[ 2.313 s] [2025-09-15 07:42:19.806] [INFO] ------------------------------------------------------------------------ [2025-09-15 07:42:19.806] [INFO]</p>
<p>BUILD FAILURE [2025-09-15 07:42:19.806] [INFO] ------------------------------------------------------------------------ [2025-09-15 07:42:19.806] [INFO]</p>
<p>Total time: 24.044 s [2025-09-15 07:42:19.806] [INFO] Finished at: 2025-09-15T07:42:19+03:00 [2025-09-15 07:42:19.806] [INFO] ------------------------------------------------------------------------ [2025-09-15 07:42:19.806] [ERROR]</p>
<p>Failed to execute goal on project casf-cession-orchestrator-app: Could not collect dependencies for project ru.vtb:casf-cession-orchestrator-app:jar:0.20.0-ft-CRFLOMNIL-2225.20250915044154 [2025-09-15 07:42:19.806]</p>
<p>[ERROR] Failed to read artifact descriptor for ru.vtb:mort-main-api:jar:0.17.3 [2025-09-15 07:42:19.806]</p>
<p>[ERROR] Caused by: The following artifacts could not be resolved: ru.vtb:mort-main-api:pom:0.17.3 (absent): Could not transfer artifact ru.vtb:mort-main-api:pom:0.17.3 from/to mort-pub (https://maven.repo-ci.sfera.inno.local/repository/mort-maven-pub/): status code: 403, reason phrase: Forbidden (403)<br />пр https://sfera.inno.local/sourcecode/projects/CASF/repos/casf-cession-orchestrator/pulls/1444385&nbsp;<br />Права для&nbsp; ИС 3722 есть, mort-maven-pub тоже вижу.<br />Локально все собирается.&nbsp;</p>";devops_support,devops_консультация
